fileName,RevisionId,Date,Author,Comment
"./lib/build/jdiff/Null.java","9e2d95b4393bd41b7eb882705d208124e2a4dd18","Wed, 26 Jun 2013 17:43:11 -0700","Christian Edward Gruber","Clean up some formatting (includes some format artifacts from internal changes), and remove executable bit from several files which do not need them."
"./lib/build/jdiff/Null.java","e0359ad38f79c9e8f9a7321e2336eacb3fa0c6d2","Sun, 31 Oct 2010 20:39:41 +0000","sberlin","add jdiff build packages, update build.properties for struts2, update build.xml to include a jdiff target & fix up javadoc target, add a new uploadApiDiffs script, update uploadJavadocs script."
"./core/src/com/google/inject/util/Providers.java","4754a22f265ad638d5484d12219515bd663272d0","Sat, 3 May 2014 00:40:05 -0400","Sam Berlin","Add equals/hashCode to Providers.guicify(...) results. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=65072672"
"./core/src/com/google/inject/util/Providers.java","14e2703cd15b0ac745a0df80d25800692d8c727e","Sat, 3 May 2014 00:39:35 -0400","Sam Berlin","Implement hashCode and equals on type returned by Providers.of(...). There doesn't seem to be any reason *not* to provide these methods, and it means downstream code that does"
"./core/src/com/google/inject/util/Providers.java","b7a02b02d81c830d148355c90bc309bcd66fb592","Fri, 8 Jul 2011 00:34:16 +0000","sberlin","* Remove unused imports * Sort imports * Convert tabs to spaces * Fix the ant no_aop build"
"./core/src/com/google/inject/util/Providers.java","d9c913acca55023ef5d76a32c3d4a51ee6b420cb","Sun, 26 Jun 2011 21:02:54 +0000","sberlin","switch Guice from manually repackaging Guava to depending on Guava.  it's still jarjar'd right now, which is causing a ~400k increase in guice-snapshot.jar.  next step is to switch to ProGuard to remove the unnecessary code and cut it back down (even further?!).  this will let people build from Guice source and depend directly on Guava code without having to worry about hiding internal/util."
"./core/src/com/google/inject/util/Providers.java","16f8b0fdf6f1993f6d5d714d86fd455065301474","Thu, 9 Dec 2010 14:18:42 +0000","sberlin","fix issue 578, Providers.guicify loses injection points from the delegate."
"./core/src/com/google/inject/util/Providers.java","d00bb052f3c46d528db507607898530886de0f3b","Thu, 9 Dec 2010 04:15:04 +0000","sberlin","add missing @since tag."
"./core/src/com/google/inject/util/Providers.java","a523ea5e25e18b348097f587a7f150b987f440b3","Thu, 9 Dec 2010 03:00:02 +0000","sberlin","rm jsr330, move the one method into Providers."
"./core/src/com/google/inject/util/Providers.java","74d714c1e72bb60706ed9df4d1982971c88c10aa","Thu, 21 Oct 2010 19:10:16 +0000","mcculls","Issue 552: (step 1) move core code to its own subdirectory"
"./core/src/com/google/inject/util/Modules.java","ebe9f053ab2431f8f22f6d892cffadef4b10479c","Fri, 6 Dec 2013 17:08:25 -0500","Sam Berlin","Re-committed the rolled back CL, after fixing internal projects."
"./core/src/com/google/inject/util/Modules.java","a4c16e8b45261e23e1c35d5fdce9b57357b16d1f","Fri, 6 Dec 2013 17:06:40 -0500","Sam Berlin","Rolled back commit -- broke some internal projects."
